"date","longname","stat_entries","stat_total_pages","stat_total_bytes","stat_total_pct"
"2020-11-03T10:59:15","Free DBI","2","1","4096","100.0"
"2020-11-03T10:59:15","Main DBI","39","1","4096","100.0"
"2020-11-03T10:59:15","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T10:59:15","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T10:59:15","CodeBucket","0","0","0","0.0"
"2020-11-03T10:59:15","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T10:59:15","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T10:59:15","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T10:59:15","HeaderNumberPrefix","1","1","4096","100.0"
"2020-11-03T10:59:15","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T10:59:15","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T10:59:15","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T10:59:15","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T10:59:15","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T10:59:15","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T10:59:15","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T10:59:15","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T10:59:15","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T10:59:15","SyncStageProgress","3","1","4096","100.0"
"2020-11-03T10:59:15","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T10:59:15","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T10:59:15","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T10:59:15","CallFromIndex","0","0","0","0.0"
"2020-11-03T10:59:15","CallToIndex","0","0","0","0.0"
"2020-11-03T10:59:15","CliqueBucket","0","0","0","0.0"
"2020-11-03T10:59:15","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T10:59:15","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T10:59:15","HeaderPrefix","3","1","4096","100.0"
"2020-11-03T10:59:15","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T10:59:15","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T10:59:15","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T10:59:15","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T10:59:15","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T10:59:15","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T10:59:15","Log","0","0","0","0.0"
"2020-11-03T10:59:15","LogAddressIndex","0","0","0","0.0"
"2020-11-03T10:59:15","LogTopicIndex","0","0","0","0.0"
"2020-11-03T10:59:15","Migrations","11","1","4096","100.0"
